Protein Code,Docking Score
3034.pdbqt,-8.87
3071.pdbqt,-8.869
6000.pdbqt,-8.869
6112.pdbqt,-8.869
7856.pdbqt,-8.869
1748.pdbqt,-8.869
3392.pdbqt,-8.868
8592.pdbqt,-8.867
2870.pdbqt,-8.867
1800.pdbqt,-8.867
4580.pdbqt,-8.866
9029.pdbqt,-8.866
4538.pdbqt,-8.866
1246.pdbqt,-8.866
7240.pdbqt,-8.866
5316.pdbqt,-8.866
2876.pdbqt,-8.865
2152.pdbqt,-8.865
4772.pdbqt,-8.865
9141.pdbqt,-8.865
4798.pdbqt,-8.865
8343.pdbqt,-8.865
7114.pdbqt,-8.865
8061.pdbqt,-8.865
74.pdbqt,-8.864
8999.pdbqt,-8.864
6963.pdbqt,-8.863
4483.pdbqt,-8.863
1957.pdbqt,-8.862
1227.pdbqt,-8.861
8576.pdbqt,-8.861
5499.pdbqt,-8.861
7030.pdbqt,-8.86
3178.pdbqt,-8.86
5752.pdbqt,-8.86
1388.pdbqt,-8.858
8439.pdbqt,-8.858
1478.pdbqt,-8.858
7888.pdbqt,-8.856
6620.pdbqt,-8.856
5050.pdbqt,-8.856
7384.pdbqt,-8.855
4346.pdbqt,-8.855
7233.pdbqt,-8.854
6486.pdbqt,-8.853
1338.pdbqt,-8.853
446.pdbqt,-8.853
2012.pdbqt,-8.853
7656.pdbqt,-8.852
8702.pdbqt,-8.852
6594.pdbqt,-8.852
5030.pdbqt,-8.852
6374.pdbqt,-8.851
6950.pdbqt,-8.85
2782.pdbqt,-8.85
6400.pdbqt,-8.849
5984.pdbqt,-8.848
8536.pdbqt,-8.848
4726.pdbqt,-8.848
7142.pdbqt,-8.848
2170.pdbqt,-8.848
2706.pdbqt,-8.847
2794.pdbqt,-8.847
5924.pdbqt,-8.847
466.pdbqt,-8.847
1602.pdbqt,-8.846
8952.pdbqt,-8.846
8502.pdbqt,-8.846
5446.pdbqt,-8.845
7701.pdbqt,-8.845
628.pdbqt,-8.845
2614.pdbqt,-8.844
8259.pdbqt,-8.843
2008.pdbqt,-8.843
4270.pdbqt,-8.843
1328.pdbqt,-8.843
960.pdbqt,-8.843
8324.pdbqt,-8.842
3624.pdbqt,-8.842
7994.pdbqt,-8.841
9172.pdbqt,-8.841
6570.pdbqt,-8.84
8044.pdbqt,-8.839
4218.pdbqt,-8.839
1581.pdbqt,-8.838
3296.pdbqt,-8.838
7760.pdbqt,-8.837
7627.pdbqt,-8.837
2684.pdbqt,-8.837
1802.pdbqt,-8.836
5368.pdbqt,-8.836
